1	0.205499	x	0.202247
1	0.206677	x	0.222222
2	0.289766	x	0.265487
2	0.291272	x	0.310345
2	0.291618	x	0.276923
3	0.363126	x	0.382979
3	0.361562	x	0.355263
4	0.42221	x	0.436364
5	0.473557	x	0.432692
6	0.522673	x	0.502326
8	0.598799	x	0.628821
10	0.648172	x	0.717131
12	0.689469	x	0.668731
14	0.720539	x	0.765957
18	0.767498	x	0.80397
22	0.795578	x	0.730627
27	0.816695	x	0.84669
33	0.841398	x	0.792
40	0.864696	x	0.89441
49	0.873478	x	0.909278
61	0.890696	x	0.913478
75	0.904124	x	0.971922
92	0.920079	x	0.931384
112	0.919674	x	0.909747
138	0.92195	x	0.931384
169	0.94308	x	0.934046
208	0.952625	x	0.937782
255	0.959532	x	0.926711
314	0.966086	x	0.956831
385	0.968817	x	0.958109
473	0.975073	x	0.995673
581	0.972525	x	0.972385
713	0.978296	x	0.958405
875	0.985655	x	0.980514
1075	0.983634	x	0.982433
1320	0.986924	x	0.985401
1621	0.989045	x	0.984247
1990	0.993368	x	0.994862
2443	0.992326	x	0.996555
3000	0.994201	x	0.995502
