0.5	0.67075	0.820557	1.00019	1.00011
0.530134	0.707405	0.843999	1.06052	1.02984
0.562085	0.764321	0.88084	1.1245	1.06045
0.595961	0.799265	0.895558	1.19235	1.09199
0.631879	0.860944	0.93596	1.26432	1.12447
0.669962	0.924244	0.975716	1.34066	1.15794
0.71034	0.983846	1.0113	1.42164	1.19243
0.753152	1.0448	1.03374	1.50755	1.22796
0.798543	1.12734	1.08167	1.59872	1.26459
0.846671	1.20898	1.13679	1.69547	1.30235
0.897699	1.29901	1.17843	1.79817	1.3413
0.951802	1.35913	1.20947	1.90721	1.38148
1.00917	1.48889	1.28804	2.02302	1.42295
1.06999	1.56666	1.33071	2.14607	1.46578
1.13447	1.67164	1.391	2.27686	1.51004
1.20285	1.80192	1.43521	2.41595	1.55584
1.27534	1.91415	1.52495	2.56398	1.60327
1.35221	2.02782	1.57081	2.72164	1.65248
1.4337	2.17639	1.65307	2.88972	1.70362
1.52011	2.33024	1.72746	3.06915	1.75691
1.61173	2.48445	1.82072	3.26097	1.81261
1.70886	2.63751	1.8961	3.46644	1.87108
1.81185	2.84524	1.97999	3.68706	1.93279
1.92105	3.00123	2.05626	3.92469	1.99841
2.03683	3.19739	2.15234	4.18169	2.06886
2.15959	3.43247	2.24025	4.46111	2.1455
2.28975	3.63132	2.29544	4.7671	2.23037
2.42775	3.86166	2.37959	5.10548	2.32667
2.57406	4.13758	2.49899	5.48488	2.43963
2.7292	4.42664	2.60598	5.91882	2.57832
2.89369	4.68091	2.62152	6.43011	2.75957
3.06809	5.0403	2.74058	7.06111	3.01751
3.253	5.44407	2.84023	7.90126	3.43032
3.44905	5.86507	2.90779	9.18	4.21265
3.65692	6.43393	3.01996	11.7235	6.17402
3.87732	6.73152	3.0793	22.5598	16.332
4.111	7.65506	3.27459	1e+10	1e+10
4.35877	9.37423	3.97161	1e+10	1e+10
4.62147	10.7982	3.96928	1e+10	1e+10
4.9	20.4116	5.97769	1e+10	1e+10
