1.5	2.95789	1.79201	3.00579	1.73454	x	2.76
1.57947	3.14714	1.84096	3.16647	1.78057	x	3.21519
1.66314	3.31877	1.89026	3.33608	1.82799
1.75126	3.49828	1.9591	3.51523	1.87691	x	3.37143
1.84403	3.71505	2.02198	3.70458	1.92744	x	3.90217
1.94173	3.91972	2.08671	3.90487	1.97974	x	3.75258
2.0446	4.14217	2.13381	4.11696	2.03397	x	3.82353
2.15292	4.36372	2.19533	4.34183	2.09038
2.26697	4.6115	2.28181	4.58063	2.14927	x	4.68722
2.38707	4.86402	2.33386	4.83475	2.21107
2.51354	5.19915	2.41638	5.10585	2.27632	x	4.74206
2.6467	5.48413	2.49466	5.39603	2.34582
2.78692	5.83161	2.62467	5.70798	2.4207	x	5.56272
2.93456	6.19696	2.69899	6.04526	2.50261	x	5.79863
3.09003	6.64763	2.84045	6.41274	2.59407	x	6.20388
3.25374	7.07609	2.91421	6.81741	2.69909	x	6.81538
3.42611	7.67533	3.19167	7.26978	2.82431
3.60762	8.37577	3.39344	7.78667	2.98138	x	8.03601
3.79875	9.29681	3.8134	8.39707	3.19234	x	9.40263
4	10.1659	4.10818	9.15624	3.50289
