1.5	2.26013	1.6522	2.25579	1.73454	x	2.16333
1.57947	2.37639	1.69136	2.37673	1.78057	x	2.29114
1.66314	2.50078	1.74034	2.50451	1.82799	x	2.45181
1.75126	2.66046	1.80594	2.63961	1.87691
1.84403	2.82016	1.85401	2.78256	1.92744	x	2.76902
1.94173	2.9835	1.89759	2.93401	1.97974	x	3.17268
2.0446	3.13356	1.95231	3.09466	2.03397	x	3.04167
2.15292	3.29734	2.01798	3.26537	2.09038	x	3.40698
2.26697	3.47173	2.05288	3.44715	2.14927	x	3.71239
2.38707	3.69395	2.12	3.64121	2.21107	x	3.37448
2.51354	3.92085	2.15592	3.84908	2.27632	x	3.79681
2.6467	4.14912	2.21401	4.07268	2.34582	x	4.07765
2.78692	4.37451	2.25696	4.31452	2.4207	x	4.50899
2.93456	4.64089	2.30353	4.57798	2.50261
3.09003	4.9398	2.34803	4.86772	2.59407	x	4.70874
3.25374	5.23323	2.43732	5.19054	2.69909	x	5.42923
3.42611	5.57994	2.48012	5.55672	2.82431	x	5.68222
3.60762	6.04959	2.5783	5.98285	2.98138	x	5.71053
3.79875	6.54726	2.68423	6.49769	3.19234	x	7.03421
4	7.23798	2.86599	7.15624	3.50289	x	7.11125
