$1$ & $2$ & $1$\\ \hline 
$1$ & $5$ & $1$\\ \hline 
$1$ & $13$ & $1$\\ \hline 
$2$ & $3$ & $1$\\ \hline 
$3$ & $4$ & $1$\\ \hline 
$3$ & $7$ & $1$\\ \hline 
$3$ & $15$ & $1$\\ \hline 
$5$ & $6$ & $1$\\ \hline 
$5$ & $9$ & $1$\\ \hline 
$6$ & $7$ & $1$\\ \hline 
$7$ & $8$ & $1$\\ \hline 
$7$ & $11$ & $1$\\ \hline 
$9$ & $10$ & $1$\\ \hline 
$9$ & $13$ & $1$\\ \hline 
$10$ & $11$ & $1$\\ \hline 
$11$ & $12$ & $1$\\ \hline 
$11$ & $15$ & $1$\\ \hline 
$13$ & $14$ & $1$\\ \hline 
$14$ & $15$ & $1$\\ \hline 
$15$ & $16$ & $1$\\ \hline 
