$1$ & $8$ & $0.306528$\\ \hline 
$1$ & $13$ & $0.189313$\\ \hline 
$1$ & $14$ & $0.0688376$\\ \hline 
$1$ & $20$ & $0.175145$\\ \hline 
$1$ & $25$ & $0.26281$\\ \hline 
$2$ & $3$ & $0.148627$\\ \hline 
$2$ & $4$ & $0.0568626$\\ \hline 
$2$ & $13$ & $0.158904$\\ \hline 
$2$ & $22$ & $0.0692865$\\ \hline 
$2$ & $23$ & $0.0597149$\\ \hline 
$3$ & $5$ & $0.352399$\\ \hline 
$3$ & $9$ & $0.123188$\\ \hline 
$3$ & $13$ & $0.203909$\\ \hline 
$3$ & $14$ & $0.280181$\\ \hline 
$3$ & $23$ & $0.178711$\\ \hline 
$3$ & $24$ & $0.258504$\\ \hline 
$4$ & $7$ & $0.351237$\\ \hline 
$4$ & $8$ & $0.182924$\\ \hline 
$4$ & $10$ & $0.195552$\\ \hline 
$4$ & $13$ & $0.153949$\\ \hline 
$4$ & $22$ & $0.0740796$\\ \hline 
$5$ & $9$ & $0.324808$\\ \hline 
$5$ & $11$ & $0.305756$\\ \hline 
$5$ & $15$ & $0.125544$\\ \hline 
$5$ & $17$ & $0.240199$\\ \hline 
$5$ & $18$ & $0.381412$\\ \hline 
$5$ & $24$ & $0.297654$\\ \hline 
$6$ & $9$ & $0.319387$\\ \hline 
$6$ & $11$ & $0.275361$\\ \hline 
$6$ & $14$ & $0.487977$\\ \hline 
$6$ & $15$ & $0.405186$\\ \hline 
$6$ & $18$ & $0.108845$\\ \hline 
$6$ & $19$ & $0.27359$\\ \hline 
$6$ & $20$ & $0.277641$\\ \hline 
$7$ & $10$ & $0.31874$\\ \hline 
$7$ & $16$ & $0.170891$\\ \hline 
$7$ & $17$ & $0.314146$\\ \hline 
$7$ & $21$ & $0.103734$\\ \hline 
$7$ & $22$ & $0.336601$\\ \hline 
$7$ & $24$ & $0.342922$\\ \hline 
$7$ & $25$ & $0.101894$\\ \hline 
$8$ & $10$ & $0.0594485$\\ \hline 
$8$ & $12$ & $0.0688384$\\ \hline 
$8$ & $13$ & $0.167487$\\ \hline 
$8$ & $18$ & $0.415551$\\ \hline 
$8$ & $20$ & $0.381702$\\ \hline 
$9$ & $11$ & $0.0545572$\\ \hline 
$9$ & $14$ & $0.316944$\\ \hline 
$10$ & $12$ & $0.0398132$\\ \hline 
$10$ & $17$ & $0.139848$\\ \hline 
$11$ & $18$ & $0.17961$\\ \hline 
$12$ & $17$ & $0.116854$\\ \hline 
$12$ & $18$ & $0.395305$\\ \hline 
$13$ & $14$ & $0.207145$\\ \hline 
$14$ & $15$ & $0.598156$\\ \hline 
$14$ & $25$ & $0.263939$\\ \hline 
$15$ & $16$ & $0.272532$\\ \hline 
$15$ & $17$ & $0.298965$\\ \hline 
$15$ & $19$ & $0.33814$\\ \hline 
$15$ & $24$ & $0.295356$\\ \hline 
$15$ & $25$ & $0.517166$\\ \hline 
$16$ & $17$ & $0.260334$\\ \hline 
$16$ & $19$ & $0.100631$\\ \hline 
$16$ & $21$ & $0.161676$\\ \hline 
$17$ & $18$ & $0.393401$\\ \hline 
$18$ & $20$ & $0.348573$\\ \hline 
$19$ & $20$ & $0.173591$\\ \hline 
$19$ & $21$ & $0.108875$\\ \hline 
$20$ & $21$ & $0.154634$\\ \hline 
$20$ & $25$ & $0.205628$\\ \hline 
$21$ & $25$ & $0.100548$\\ \hline 
$22$ & $23$ & $0.0247943$\\ \hline 
$22$ & $24$ & $0.125444$\\ \hline 
$23$ & $24$ & $0.122926$\\ \hline 
$24$ & $25$ & $0.350989$\\ \hline 
