3	0.0125566	x	0.0135977	p	0.964604	px	0.972222	p2	0.96554	p2x	0.983333	1	0.106187	0.10338
4	0.0203583	x	0.0209041	p	0.935855	px	0.957192	p2	0.95076	p2x	0.965753	1	0.25658	0.19696
5	0.0289213	x	0.0315756	p	0.898012	px	0.854286	p2	0.93688	p2x	0.914286	1	0.50994	0.3156
6	0.0393992	x	0.0414651	p	0.845288	px	0.854885	p2	0.91701	p2x	0.918103	1	0.92827	0.49794
7	0.0495936	x	0.0476677	p	0.798077	px	0.817432	p2	0.89424	p2x	0.891697	1	1.41346	0.74032
9	0.0758288	x	0.0697269	p	0.669911	px	0.708595	p2	0.81194	p2x	0.862534	1.59248	2.9708	1.2372
12	0.119732	x	0.112544	p	0.487635	px	0.494395	p2	0.63264	p2x	0.656951	3.55737	6.14838	4.40832
14	0.154521	x	0.151597	p	0.366409	px	0.414019	p2	0.4975	p2x	0.521495	5.99865	8.20374	7.035
18	0.218686	x	0.202703	p	0.206049	px	0.256729	p2	0.28906	p2x	0.352113	10.1066	13.3789	11.662
23	0.273704	x	0.274299	p	0.121063	px	0.111655	p2	0.17379	p2x	0.14791	17.6297	20.4319	19.5981
28	0.326778	x	0.318182	p	0.0700771	px	0.0757887	p2	0.10154	p2x	0.106822	24.7176	25.8779	25.1569
36	0.376473	x	0.384205	p	0.0438483	px	0.0465566	p2	0.06552	p2x	0.0660576	32.7569	34.324	33.6413
45	0.432547	x	0.403769	p	0.0262133	px	0.0323221	p2	0.03768	p2x	0.0476706	38.0408	43.5455	42.8548
56	0.481739	x	0.503258	p	0.0175882	px	0.0200585	p2	0.02712	p2x	0.0266789	55.1425	54.8767	54.4813
70	0.525509	x	0.526217	p	0.0134163	px	0.00988443	p2	0.02038	p2x	0.0155153	67.2038	69.3081	68.9139
