1.5	2.9629	1.78535	3.00579	1.73454	x	2.75333
1.57947	3.15336	1.85978	3.16647	1.78057	x	3.65823
1.66314	3.30183	1.89714	3.33608	1.82799	x	3.35542
1.75126	3.50297	1.94935	3.51523	1.87691	x	3.30682
1.84403	3.68399	2.00096	3.70458	1.92744	x	3.48913
1.94173	3.93752	2.08542	3.90487	1.97974	x	3.78866
2.0446	4.12238	2.15208	4.11696	2.03397	x	3.46569
2.15292	4.38082	2.20504	4.34183	2.09038	x	4.06047
2.26697	4.6161	2.27916	4.58063	2.14927	x	5.09251
2.38707	4.88566	2.34133	4.83475	2.21107	x	5.44118
2.51354	5.13925	2.40394	5.10585	2.27632	x	4.98008
2.6467	5.49366	2.52522	5.39603	2.34582	x	5.62264
2.78692	5.85332	2.63516	5.70798	2.4207	x	5.91398
2.93456	6.21197	2.74281	6.04526	2.50261	x	5.70307
3.09003	6.65465	2.86663	6.41274	2.59407	x	5.90291
3.25374	7.14013	2.97788	6.81741	2.69909	x	7.29846
3.42611	7.62493	3.13917	7.26978	2.82431	x	8.16035
3.60762	8.38322	3.38696	7.78667	2.98138	x	8.01662
3.79875	9.38813	3.91735	8.39707	3.19234	x	8.38947
4	10.3327	4.23948	9.15624	3.50289	x	9.6875
