80	0.0671247	x	0.0613866	p	0.970413	px	0.97367	p2	0.9875	p2x	0.987029	1.83427	2.36696	1
101	0.111588	x	0.102746	p	0.943367	px	0.953088	p2	0.983168	p2x	0.983869	4.54018	5.71996	1.7
127	0.195285	x	0.194202	p	0.857413	px	0.85812	p2	0.961843	p2x	0.964516	15.1836	18.1085	4.846
159	0.350345	x	0.353122	p	0.597607	px	0.599622	p2	0.773057	p2x	0.773768	48.9495	63.9805	36.084
200	0.502203	x	0.500051	p	0.340165	px	0.341073	p2	0.47325	p2x	0.479461	105.934	131.967	105.35
252	0.595515	x	0.578037	p	0.231801	px	0.258584	p2	0.333619	p2x	0.367728	166.012	186.837	159.333
317	0.664927	x	0.66197	p	0.177581	px	0.176413	p2	0.260524	p2x	0.262224	229.646	260.707	234.414
399	0.722301	x	0.729064	p	0.145698	px	0.140423	p2	0.217208	p2x	0.209951	309.932	340.867	312.334
502	0.767207	x	0.772104	p	0.131782	px	0.128798	p2	0.196546	p2x	0.192086	395.427	435.845	403.334
632	0.806887	x	0.806304	p	0.121353	px	0.121814	p2	0.182772	p2x	0.185548	505.361	555.305	516.488
795	0.843757	x	0.84413	p	0.113441	px	0.113568	p2	0.173449	p2x	0.172538	655.905	704.815	657.108
1000	0.869233	x	0.866431	p	0.11186	px	0.111093	p2	0.169702	p2x	0.169572	809.175	888.14	830.298
