1	0.20573	x	0.204167
1	0.206228	x	0.211207
2	0.288709	x	0.300613
2	0.286589	x	0.260638
2	0.288614	x	0.264865
3	0.357311	x	0.356796
3	0.359325	x	0.351675
4	0.419888	x	0.424242
5	0.468162	x	0.434397
6	0.51982	x	0.536496
8	0.594702	x	0.6125
10	0.655979	x	0.671233
12	0.695212	x	0.701671
14	0.726565	x	0.707216
18	0.76251	x	0.827392
22	0.797661	x	0.79616
27	0.828635	x	0.851351
33	0.848729	x	0.866559
40	0.864904	x	0.831919
49	0.884321	x	0.903311
61	0.902849	x	0.872956
75	0.913714	x	0.956035
92	0.919631	x	0.930636
112	0.930637	x	0.922663
138	0.941401	x	0.949452
169	0.950141	x	0.926701
208	0.954142	x	0.958435
255	0.96027	x	0.966507
314	0.965428	x	0.953993
385	0.971711	x	0.976753
473	0.974481	x	0.982326
581	0.98002	x	0.964528
713	0.981943	x	0.973121
875	0.984443	x	0.994641
1075	0.986271	x	0.990765
1320	0.989608	x	0.995654
1621	0.991444	x	0.987325
1990	0.992057	x	0.989467
