$1$ & $2$ & $1$\\ \hline 
$1$ & $10$ & $1$\\ \hline 
$1$ & $11$ & $1$\\ \hline 
$1$ & $91$ & $1$\\ \hline 
$2$ & $3$ & $1$\\ \hline 
$2$ & $12$ & $1$\\ \hline 
$2$ & $92$ & $1$\\ \hline 
$3$ & $4$ & $1$\\ \hline 
$3$ & $13$ & $1$\\ \hline 
$3$ & $93$ & $1$\\ \hline 
$4$ & $5$ & $1$\\ \hline 
$4$ & $14$ & $1$\\ \hline 
$4$ & $94$ & $1$\\ \hline 
$5$ & $6$ & $1$\\ \hline 
$5$ & $15$ & $1$\\ \hline 
$5$ & $95$ & $1$\\ \hline 
$6$ & $7$ & $1$\\ \hline 
$6$ & $16$ & $1$\\ \hline 
$6$ & $96$ & $1$\\ \hline 
$7$ & $8$ & $1$\\ \hline 
$7$ & $17$ & $1$\\ \hline 
$7$ & $97$ & $1$\\ \hline 
$8$ & $9$ & $1$\\ \hline 
$8$ & $18$ & $1$\\ \hline 
$8$ & $98$ & $1$\\ \hline 
$9$ & $10$ & $1$\\ \hline 
$9$ & $19$ & $1$\\ \hline 
$9$ & $99$ & $1$\\ \hline 
$10$ & $20$ & $1$\\ \hline 
$10$ & $100$ & $1$\\ \hline 
$11$ & $12$ & $1$\\ \hline 
$11$ & $20$ & $1$\\ \hline 
$11$ & $21$ & $1$\\ \hline 
$12$ & $13$ & $1$\\ \hline 
$12$ & $22$ & $1$\\ \hline 
$13$ & $14$ & $1$\\ \hline 
$13$ & $23$ & $1$\\ \hline 
$14$ & $15$ & $1$\\ \hline 
$14$ & $24$ & $1$\\ \hline 
$15$ & $16$ & $1$\\ \hline 
$15$ & $25$ & $1$\\ \hline 
$16$ & $17$ & $1$\\ \hline 
$16$ & $26$ & $1$\\ \hline 
$17$ & $18$ & $1$\\ \hline 
$17$ & $27$ & $1$\\ \hline 
$18$ & $19$ & $1$\\ \hline 
$18$ & $28$ & $1$\\ \hline 
$19$ & $20$ & $1$\\ \hline 
$19$ & $29$ & $1$\\ \hline 
$20$ & $30$ & $1$\\ \hline 
$21$ & $22$ & $1$\\ \hline 
