$1$ & $2$ & $1$\\ \hline 
$1$ & $3$ & $1$\\ \hline 
$1$ & $4$ & $1$\\ \hline 
$2$ & $5$ & $1$\\ \hline 
$2$ & $6$ & $1$\\ \hline 
$3$ & $7$ & $1$\\ \hline 
$3$ & $8$ & $1$\\ \hline 
$4$ & $9$ & $1$\\ \hline 
$4$ & $10$ & $1$\\ \hline 
$5$ & $11$ & $1$\\ \hline 
$5$ & $12$ & $1$\\ \hline 
$6$ & $13$ & $1$\\ \hline 
$6$ & $14$ & $1$\\ \hline 
$7$ & $15$ & $1$\\ \hline 
$7$ & $16$ & $1$\\ \hline 
$8$ & $17$ & $1$\\ \hline 
$8$ & $18$ & $1$\\ \hline 
$9$ & $19$ & $1$\\ \hline 
$9$ & $20$ & $1$\\ \hline 
$10$ & $21$ & $1$\\ \hline 
$10$ & $22$ & $1$\\ \hline 
$11$ & $23$ & $1$\\ \hline 
$11$ & $24$ & $1$\\ \hline 
$12$ & $25$ & $1$\\ \hline 
$12$ & $26$ & $1$\\ \hline 
$13$ & $27$ & $1$\\ \hline 
$13$ & $28$ & $1$\\ \hline 
$14$ & $29$ & $1$\\ \hline 
$14$ & $30$ & $1$\\ \hline 
$15$ & $31$ & $1$\\ \hline 
$15$ & $32$ & $1$\\ \hline 
$16$ & $33$ & $1$\\ \hline 
$16$ & $34$ & $1$\\ \hline 
$17$ & $35$ & $1$\\ \hline 
$17$ & $36$ & $1$\\ \hline 
$18$ & $37$ & $1$\\ \hline 
$18$ & $38$ & $1$\\ \hline 
$19$ & $39$ & $1$\\ \hline 
$19$ & $40$ & $1$\\ \hline 
$20$ & $41$ & $1$\\ \hline 
$20$ & $42$ & $1$\\ \hline 
$21$ & $43$ & $1$\\ \hline 
$21$ & $44$ & $1$\\ \hline 
$22$ & $45$ & $1$\\ \hline 
$22$ & $46$ & $1$\\ \hline 
